"_","Id","Name","AccountId__c","ccrz__BillTo__c","Billing_Address__c","Billing_City_State_Zip__c","Bulk_Product_Count__c","Billing_Company_Name__c","ccrz__BuyerCompanyName__c","ccrz__ShipMethod__c","Average_Gross_Profit_Margin__c","Average_Per_Unit_Profit_Margin__c","Average_Net_Profit_Margin__c","ccrz__OrderNumber__c","Total_Cost__c","ccrz__TotalDiscount__c","Total_Weight__c"
"[ccrz__E_Order__c]","a0n5d00000UAPWGAA5","O-0000007743","0013h00000zvDrd","a0P5d000018jA4KEAU","K-Bros<br>70 Scott Drive<br>Westbrook, ME 04092<br>United States","Westbrook, ME 04092","4","K-Bros","","FOB Orgin Pre-Pay & Add","","","","1007743","0","","47865.75"
"[ccrz__E_Order__c]","a0n5d00000UAPWzAAP","O-0000007744","0013h00000zvDrd","a0P5d000018jA5IEAU","K-Bros<br>70 Scott Drive<br>Westbrook, ME 04092<br>United States","Westbrook, ME 04092","3","K-Bros","","FOB Orgin Pre-Pay & Add","","","","1007744","0","","47507.3"
"[ccrz__E_Order__c]","a0n5d00000UAPXfAAP","O-0000007745","0013h00000zvDrd","a0P5d000018jA5hEAE","K-Bros<br>70 Scott Drive<br>Westbrook, ME 04092<br>United States","Westbrook, ME 04092","3","K-Bros","","FOB Orgin Pre-Pay & Add","","","","1007745","0","","47693"
"[ccrz__E_Order__c]","a0n5d00000UAPYkAAP","O-0000007746","0013h00000zufXh","a0P5d000018jA6BEAU","Inland Vacuum Industries<br>P. O. Box 373<br>Churchville, NY 14428<br>United States","Churchville, NY 14428","1","Inland Vacuum Industries","","FOB Orgin Pre-Pay & Add","","","","1007746","0","","47421.45"
"[ccrz__E_Order__c]","a0n5d00000UAPZ5AAP","O-0000007747","0013h00000JQpl3","a0P5d000018jA6pEAE","AutoPro Spring Valley<br>303 Roosevelt Ave<br>Spring Valley, NY 10977<br>United States","Spring Valley, NY 10977","0","AutoPro Spring Valley","","Our Truck","","","","1007747","339.35","","436.91"
"[ccrz__E_Order__c]","a0n5d00000UAPZQAA5","O-0000007748","0013h000012WwAt","a0P5d000018jA6uEAE","Ultrachem Inc<br>900 Centerpoint Boulevard<br>New Castle, DE 19720<br>United States","New Castle, DE 19720","1","Ultrachem Inc","","FOB Orgin Pre-Pay & Add","","","","1007748","0","","47436.03"
"[ccrz__E_Order__c]","a0n5d00000UAPcCAAX","O-0000007749","0013h00000zvDz5","a0P5d000018jA7dEAE","Lubenet LLC<br>126 Scott Avenue<br>Brooklyn, NY 11237<br>United States","Brooklyn, NY 11237","1","Lubenet LLC","","FOB Orgin Pre-Pay & Add","","","","1007749","0","","48513.6"
"[ccrz__E_Order__c]","a0n5d00000UAPckAAH","O-0000007750","0013h00000ztEDK","a0P5d000018jA7sEAE","Encore Petroleum<br>180 West 5th Street<br>Bayonne, NJ 07002<br>United States","Bayonne, NJ 07002","1","Encore Petroleum","","FOB Orgin Pre-Pay & Add","","","","1007750","0","","46663.2"
"[ccrz__E_Order__c]","a0n5d00000UAPdgAAH","O-0000007751","0013h00000ztDeQ","a0P5d000018jA8MEAU","David Webber Oil Company<br>601 Industrial Road<br>Carlstadt, NJ 07072<br>United States","Carlstadt, NJ 07072","3","David Webber Oil Company","","FOB Orgin (Customer Truck)","","","","1007751","25947.7","","47084.66"
"[ccrz__E_Order__c]","a0n5d00000UAPpoAAH","O-0000007752","0013h00000JQpl3","a0P5d000018jAB6EAM","AutoPro Spring Valley<br>303 Roosevelt Ave<br>Spring Valley, NY 10977<br>United States","Spring Valley, NY 10977","0","AutoPro Spring Valley","","Our Truck","","","","1007752","872.85","","1325.47"
"[ccrz__E_Order__c]","a0n5d00000UAPt4AAH","O-0000007753","0013h00000JQpl3","a0P5d000018jACOEA2","AutoPro Spring Valley<br>303 Roosevelt Ave<br>Spring Valley, NY 10977<br>United States","Spring Valley, NY 10977","1","AutoPro Spring Valley","","Our Truck","","","","1007753","1215.27","","1381.59"
"[ccrz__E_Order__c]","a0n5d00000UAQ0UAAX","O-0000007754","0015d00003O8Kl3","a0P5d000018jAE0EAM","S &amp; S Chemical Company<br>P.O. Box 659<br>Northport, NY 11768<br>United States","Northport, NY 11768","0","S & S Chemical Company","","FOB Orgin Collect","","","","1007754","0","","2426.85"
"[ccrz__E_Order__c]","a0n5d00000UAQ8HAAX","O-0000007755","0013h00000ztEB4","a0P5d000018jAGzEAM","Elite Lubricants LLC<br>8734 Concord Road<br>Seaford, DE 19973<br>United States","Seaford, DE 19973","0","Elite Lubricants LLC","","UPS Ground","","","","1007755","0","","78.7"
"[ccrz__E_Order__c]","a0n5d00000UAQAdAAP","O-0000007757","0013h000012Wkwg","a0P5d000018jAINEA2","Petroleum Service Company<br>P. O. Box 454<br>Wilkes-Barre, PA 18703<br>United States","Wilkes-Barre, PA 18703","4","Petroleum Service Company","","FOB Orgin Pre-Pay & Add","","","","1007757","0","","46579.71"
