"_","Id","Company__c","CreatedById","CreatedDate","ECOGroupID__c","MtlPartNum__c","MtlSeq__c","Operations__c","PartNum__c","Plant__c","PullAsAsm__c","QtyPer__c","RelatedOperation__c","RevisionNum__c","SystemModstamp"
"[Materials__c]","a5Q5d000000CrPtEAK","JC","0053h000003HAl9AAG","2023-06-05T15:00:40.000+0000","bgonnelli","FMIGO460","10","a5R5d00000094apEAA","M463-055","ALS001","false","55","10","1","2023-06-05T15:00:40.000+0000"
"[Materials__c]","a5Q5d000000CrPyEAK","JC","0053h000003HAl9AAG","2023-06-05T15:01:12.000+0000","bgonnelli","DR1-00003","20","a5R5d00000094apEAA","M463-055","ALS001","false","1","10","1","2023-06-05T15:15:35.000+0000"
"[Materials__c]","a5Q5d000000CrQ3EAK","JC","0053h000003HAl9AAG","2023-06-05T15:01:34.000+0000","bgonnelli","CB5-00001","30","a5R5d00000094apEAA","M463-055","ALS001","false","1","10","1","2023-06-05T15:01:34.000+0000"
"[Materials__c]","a5Q5d000000CrQ8EAK","JC","0053h000003HAl9AAG","2023-06-05T15:13:50.000+0000","bgonnelli","CB5-00003","40","a5R5d00000094apEAA","M463-055","ALS001","false","1","10","1","2023-06-05T15:13:50.000+0000"
"[Materials__c]","a5Q5d000000CrQDEA0","JC","0053h000003HAl9AAG","2023-06-05T15:14:27.000+0000","bgonnelli","LA1-00013","50","a5R5d00000094apEAA","M463-055","ALS001","false","1","10","1","2023-06-05T15:14:27.000+0000"
"[Materials__c]","a5Q5d000000CrQIEA0","JC","0053h000003HAl9AAG","2023-06-05T15:14:50.000+0000","bgonnelli","PT1-00005","60","a5R5d00000094apEAA","M463-055","ALS001","false","0.25","10","1","2023-06-05T15:14:50.000+0000"
"[Materials__c]","a5Q5d000000CrgXEAS","JC","0053h000003HAl9AAG","2023-06-06T20:27:24.000+0000","bgonnelli","EFR020","10","a5R5d000000956WEAQ","EFR0W20-001-M","ALS001","false","3","10","1","2023-06-06T20:27:24.000+0000"
"[Materials__c]","a5Q5d000000CrgYEAS","JC","0053h000003HAl9AAG","2023-06-06T20:28:23.000+0000","bgonnelli","LA4-00002","40","a5R5d000000956WEAQ","EFR0W20-001-M","ALS001","false","12","10","1","2023-06-06T20:28:23.000+0000"
"[Materials__c]","a5Q5d000000CrgZEAS","JC","0053h000003HAl9AAG","2023-06-06T20:29:14.000+0000","bgonnelli","PT1-00002","70","a5R5d000000956WEAQ","EFR0W20-001-M","ALS001","false","0.011904","10","1","2023-06-06T20:29:14.000+0000"
"[Materials__c]","a5Q5d000000CrghEAC","JC","0053h000003HAl9AAG","2023-06-06T20:27:43.000+0000","bgonnelli","BT1-00001","20","a5R5d000000956WEAQ","EFR0W20-001-M","ALS001","false","12","10","1","2023-06-06T20:29:37.000+0000"
"[Materials__c]","a5Q5d000000CrgrEAC","JC","0053h000003HAl9AAG","2023-06-06T20:28:05.000+0000","bgonnelli","CB3-00006","30","a5R5d000000956WEAQ","EFR0W20-001-M","ALS001","false","12","10","1","2023-06-06T20:28:05.000+0000"
"[Materials__c]","a5Q5d000000Crh1EAC","JC","0053h000003HAl9AAG","2023-06-06T20:28:38.000+0000","bgonnelli","BX1-00010","50","a5R5d000000956WEAQ","EFR0W20-001-M","ALS001","false","1","10","1","2023-06-06T20:30:29.000+0000"
"[Materials__c]","a5Q5d000000Crh6EAC","JC","0053h000003HAl9AAG","2023-06-06T20:28:55.000+0000","bgonnelli","LA4-00003","60","a5R5d000000956WEAQ","EFR0W20-001-M","ALS001","false","12","10","1","2023-06-06T20:28:55.000+0000"
"[Materials__c]","a5Q5d000000CrqdEAC","JC","0053h000003HAl9AAG","2023-06-07T11:26:36.000+0000","bgonnelli","PLR550","10","a5R5d00000095IhEAI","PLR5W50-001-M","ALS001","false","3","10","1","2023-06-07T11:26:36.000+0000"
"[Materials__c]","a5Q5d000000CrqeEAC","JC","0053h000003HAl9AAG","2023-06-07T11:27:22.000+0000","bgonnelli","CB3-00002","30","a5R5d00000095IhEAI","PLR5W50-001-M","ALS001","false","12","10","1","2023-06-07T11:27:22.000+0000"
"[Materials__c]","a5Q5d000000CrqiEAC","JC","0053h000003HAl9AAG","2023-06-07T11:27:00.000+0000","bgonnelli","BT1-00002","20","a5R5d00000095IhEAI","PLR5W50-001-M","ALS001","false","12","10","1","2023-06-07T11:27:00.000+0000"
"[Materials__c]","a5Q5d000000CrqjEAC","JC","0053h000003HAl9AAG","2023-06-07T11:28:21.000+0000","bgonnelli","BX1-00010","60","a5R5d00000095IhEAI","PLR5W50-001-M","ALS001","false","1","10","1","2023-06-07T11:28:21.000+0000"
"[Materials__c]","a5Q5d000000CrqnEAC","JC","0053h000003HAl9AAG","2023-06-07T11:27:45.000+0000","bgonnelli","LA4-00002","40","a5R5d00000095IhEAI","PLR5W50-001-M","ALS001","false","12","10","1","2023-06-07T11:27:45.000+0000"
"[Materials__c]","a5Q5d000000CrqsEAC","JC","0053h000003HAl9AAG","2023-06-07T11:28:00.000+0000","bgonnelli","LA4-00003","50","a5R5d00000095IhEAI","PLR5W50-001-M","ALS001","false","12","10","1","2023-06-07T11:28:00.000+0000"
"[Materials__c]","a5Q5d000000CrqxEAC","JC","0053h000003HAl9AAG","2023-06-07T11:28:45.000+0000","bgonnelli","PT1-00002","70","a5R5d00000095IhEAI","PLR5W50-001-M","ALS001","false","0.011904","10","1","2023-06-07T11:28:45.000+0000"
"[Materials__c]","a5Q5d000000CrthEAC","JC","0053h000003HAl9AAG","2023-06-07T18:21:57.000+0000","bgonnelli","PLR550","10","a5R5d00000095SIEAY","PLR5W50-001","ALS001","false","3","10","1","2023-06-07T18:21:57.000+0000"
"[Materials__c]","a5Q5d000000CrtiEAC","JC","0053h000003HAl9AAG","2023-06-07T18:24:00.000+0000","bgonnelli","PT1-00002","70","a5R5d00000095SIEAY","PLR5W50-001","ALS001","false","0.011904","10","1","2023-06-07T18:24:00.000+0000"
"[Materials__c]","a5Q5d000000CrtmEAC","JC","0053h000003HAl9AAG","2023-06-07T18:22:24.000+0000","bgonnelli","BT1-00001","20","a5R5d00000095SIEAY","PLR5W50-001","ALS001","false","12","10","1","2023-06-07T18:22:24.000+0000"
"[Materials__c]","a5Q5d000000CrtrEAC","JC","0053h000003HAl9AAG","2023-06-07T18:22:43.000+0000","bgonnelli","CB3-00002","30","a5R5d00000095SIEAY","PLR5W50-001","ALS001","false","12","10","1","2023-06-07T18:22:43.000+0000"
"[Materials__c]","a5Q5d000000CrtwEAC","JC","0053h000003HAl9AAG","2023-06-07T18:23:00.000+0000","bgonnelli","LA4-00002","40","a5R5d00000095SIEAY","PLR5W50-001","ALS001","false","12","10","1","2023-06-07T18:23:00.000+0000"
"[Materials__c]","a5Q5d000000Cru1EAC","JC","0053h000003HAl9AAG","2023-06-07T18:23:18.000+0000","bgonnelli","LA4-00003","50","a5R5d00000095SIEAY","PLR5W50-001","ALS001","false","12","10","1","2023-06-07T18:23:18.000+0000"
"[Materials__c]","a5Q5d000000Cru6EAC","JC","0053h000003HAl9AAG","2023-06-07T18:23:35.000+0000","bgonnelli","BX1-00010","60","a5R5d00000095SIEAY","PLR5W50-001","ALS001","false","1","10","1","2023-06-07T18:23:35.000+0000"
"[Materials__c]","a5Q5d000000CruuEAC","JC","0053h000003HAl9AAG","2023-06-07T20:07:02.000+0000","bgonnelli","EFR02","10","a5R5d00000095XwEAI","EFR0W20-001","ALS001","false","3","10","1","2023-06-07T20:07:02.000+0000"
"[Materials__c]","a5Q5d000000CruzEAC","JC","0053h000003HAl9AAG","2023-06-07T20:07:29.000+0000","bgonnelli","BT1-00001","20","a5R5d00000095XwEAI","EFR0W20-001","ALS001","false","12","10","1","2023-06-07T20:07:29.000+0000"
"[Materials__c]","a5Q5d000000Crv0EAC","JC","0053h000003HAl9AAG","2023-06-07T20:09:10.000+0000","bgonnelli","PT1-00002","70","a5R5d00000095XwEAI","EFR0W20-001","ALS001","false","0.011904","10","1","2023-06-07T20:09:10.000+0000"
"[Materials__c]","a5Q5d000000Crv4EAC","JC","0053h000003HAl9AAG","2023-06-07T20:07:51.000+0000","bgonnelli","CB3-00006","30","a5R5d00000095XwEAI","EFR0W20-001","ALS001","false","12","10","1","2023-06-07T20:07:51.000+0000"
